f1_qrtr_med,f1_midpt_med,f1_thrqrtr_med,f2_qrtr_med,f2_midpt_med,f2_thrqrtr_med,f3_qrtr_med,f3_midpt_med,f3_thrqrtr_med,spkr,age_yrs,Phone,Word,trackable,task,t1,t2_ph,next_ph,prev_ph,qrtr_sec,midpt_sec,thrqrtr_sec,qrtr_sec_ifc,midpt_sec_ifc,thrqrtr_sec_ifc,qrtr_sec_ac,midpt_sec_ac,thrqrtr_sec_ac,f4_qrtr_med,f4_midpt_med,f4_thrqrtr_med,year,MAD_F1,MAD_F2,MAD_F3,MAD_F4,F1_upper,F1_lower,F2_upper,F2_lower,F3_upper,F3_lower,F4_upper,F4_lower,f1_midpt_med_clean,f2_midpt_med_clean,f3_midpt_med_clean,f4_midpt_med_clean,deltaf,vtl,phar_length,a_ratiof1f2,a_ratiof2f3,i_ratiof1f2,i_ratiof2f3,u_ratiof2f3,u_ratiof1f3
482.2150135,505.4297419,472.9705253,1083.886428,1277.816217,1226.929863,3906.22911,3924.053931,3875.62872,3,7,u,punchu,USE,quechua,213.3752325,213.4475,n,p,213.3925,213.4125,213.4325,213.395,213.415,213.425,213.39449,213.41449,213.42449,,,,2018,59.52527212,662.8827262,251.4937805,,666.2094331,309.0578003,3520.525719,-456.7706387,4354.507205,2845.544522,,,505.4297419,1277.816217,3924.053931,,1261.910718,13.47163453,9.166394689,0.538694096,0.501642621,0.138162282,0.828221793,0.36702793,0.136982784
491.0104582,480.1436692,448.8073141,2498.5,2607.850933,2623.882252,3199.734416,3226.032255,3290.46116,3,7,i,api-pi,USE,quechua,322.3110562,322.38,p,p,322.3325,322.3425,322.3625,322.325,322.345,322.365,322.32449,322.34449,322.36449,,,,2018,63.16871344,86.18434157,31.66003641,,570.5207431,191.5084625,3059.537048,2542.430998,3470.101267,3280.141049,,,480.1436692,2607.850933,,,1261.910718,13.47163453,9.166394689,0.538694096,0.501642621,0.138162282,0.828221793,0.36702793,0.136982784
557.1795657,550.1359835,534.18487,1682.932065,1785.938863,2217.718073,3535.418634,3584.793469,3626.630382,3,7,u,runtu,USE,quechua,274.5681878,274.6346,n,r,274.5825,274.6025,274.6225,274.585,274.605,274.615,274.58449,274.60449,274.61449,,,,2018,59.52527212,662.8827262,251.4937805,,666.2094331,309.0578003,3520.525719,-456.7706387,4354.507205,2845.544522,,,550.1359835,1785.938863,3584.793469,,1261.910718,13.47163453,9.166394689,0.538694096,0.501642621,0.138162282,0.828221793,0.36702793,0.136982784
806.9082815,835.0590759,814.0945959,1476.964012,1442.3307,1420.957537,3150.651584,3135.870477,3171.618309,3,7,a,papa,USE,quechua,119.2963806,119.3909,p,p,119.3225,119.3425,119.3625,119.325,119.345,119.365,119.32449,119.34449,119.36449,,,,2018,38.25087318,230.866231,73.77363189,,975.6115559,746.1063169,2290.646533,905.4491464,3406.951006,2964.309214,,,835.0590759,1442.3307,3135.870477,,1261.910718,13.47163453,9.166394689,0.538694096,0.501642621,0.138162282,0.828221793,0.36702793,0.136982784
860.9686752,886.6587969,843.0169927,1712.945975,1753.764979,1695.67573,3206.182613,3235.389743,3230.332269,3,7,a,papa,USE,quechua,118.1431371,118.2553,p,p,118.1725,118.2025,118.2225,118.175,118.195,118.225,118.17449,118.19449,118.22449,,,,2018,38.25087318,230.866231,73.77363189,,975.6115559,746.1063169,2290.646533,905.4491464,3406.951006,2964.309214,,,886.6587969,1753.764979,3235.389743,,1261.910718,13.47163453,9.166394689,0.538694096,0.501642621,0.138162282,0.828221793,0.36702793,0.136982784
320.6983368,327.2216569,314.4456161,875.1849721,1208.186846,1259.218533,3596.394545,3342.675411,3302.783934,4,10,u,punchu,USE,quechua,307.2880602,307.3496741,n,p,307.3025,307.3225,307.3325,307.305,307.315,307.335,307.30449,307.31449,307.33449,,,,2018,23.26789149,23.6775223,381.4365243,,441.2185175,301.6111685,1295.189683,1153.124549,4486.984984,2198.365838,,,327.2216569,1208.186846,3342.675411,,1235.26724,13.7622042,9.934408591,0.541770982,0.416594935,0.209434548,0.748759424,0.386767548,0.105359786
337.4474456,428.921479,418.0570255,2040.238327,2939.50645,2753.240706,2973.090212,3764.690572,3054.413665,4,10,i,api-pi,USE,quechua,490.0211,490.1211,p,p,490.0425,490.0725,490.0925,490.045,490.075,490.095,490.04449,490.07449,490.09449,,,,2018,16.56647966,309.0176649,408.57953,,449.471668,350.07279,3430.725265,1576.619275,4589.503905,2138.026725,,,428.921479,2939.50645,3764.690572,,1235.26724,13.7622042,9.934408591,0.541770982,0.416594935,0.209434548,0.748759424,0.386767548,0.105359786
351.3047288,362.9981122,260.6402508,2741.326567,2904.2,3055.961386,3440.023144,3574.4,3699.022361,4,10,i,t'ika,USE,quechua,174.3484,174.4084,k,t',174.3625,174.3825,174.3925,174.365,174.375,174.395,174.36449,174.37449,174.39449,,,,2018,16.56647966,309.0176649,408.57953,,449.471668,350.07279,3430.725265,1576.619275,4589.503905,2138.026725,,,362.9981122,2904.2,3574.4,,1235.26724,13.7622042,9.934408591,0.541770982,0.416594935,0.209434548,0.748759424,0.386767548,0.105359786
372.3905024,400.2652187,400.3770034,2062.960103,2304.147159,2499.324118,2800.439985,2851.320434,3026.218375,4,10,i,api-pi,USE,quechua,260.3214,260.4114,p,p,260.3425,260.3625,260.3925,260.345,260.365,260.385,260.34449,260.36449,260.38449,,,,2018,16.56647966,309.0176649,408.57953,,449.471668,350.07279,3430.725265,1576.619275,4589.503905,2138.026725,,,400.2652187,2304.147159,2851.320434,,1235.26724,13.7622042,9.934408591,0.541770982,0.416594935,0.209434548,0.748759424,0.386767548,0.105359786
385.3942382,324.8419465,308.031011,1667.330501,1224.157116,1193.865943,3304.509503,3450.956666,3548.344506,4,10,u,runtu,USE,quechua,415.0428562,415.1306,n,r,415.0625,415.0825,415.1125,415.065,415.085,415.105,415.06449,415.08449,415.10449,,,,2018,23.26789149,23.6775223,381.4365243,,441.2185175,301.6111685,1295.189683,1153.124549,4486.984984,2198.365838,,,324.8419465,1224.157116,3450.956666,,1235.26724,13.7622042,9.934408591,0.541770982,0.416594935,0.209434548,0.748759424,0.386767548,0.105359786
